Gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS
MYCBP2-AS1,-2.590695567,-3.17704927,-2.262122064,-3.460081329,-3.515122222,-2.45732725,-3.573341344,-1.079147872,-1.337122875,-4.207516904,-2.011553782,-1.626859559,-3.028136207,0.20845144,-1.163257815,-4.511394707,-1.971650345,-2.139153102,-1.504017751,-2.807462464,-2.047328431,-2.810101977,-1.9999022,-2.600875,-0.706397593,-1.962919636,-2.803133227,-0.809364846,-3.178449912,-2.484646569,-1.298331852
NADK2-AS1,-3.243622167,-5.326770595,-3.976684297,-5.466861392,-4.289002222,-3.328148229,-7.133109369,-2.122748582,-5.450938317,-6.658707651,-5.174618487,-3.963308391,-5.421800862,0.788165432,-4.79643446,-4.110068809,-3.697417431,-3.653287919,-4.513992308,-3.235877364,-4.275439216,-4.2074955,-2.68536577,-5.565031154,-2.725538403,-2.378995622,-3.576238978,-3.579420309,-7.043643186,-5.063174224,-3.209282963
NUTM2B-AS1,3.102131527,3.630145232,3.838208502,3.47531962,3.623346667,3.543716296,3.285933401,3.80541182,2.887691633,3.295372598,2.912122689,3.244340215,3.052586207,5.301926337,3.032721062,2.682571456,3.896952677,3.931896143,3.913383432,3.195134384,3.604671895,3.73397845,3.564921271,3.129585,3.941883151,3.800098148,4.112165495,3.686358432,3.34350354,3.829014691,4.086460741
ODF2-AS1,-4.863577833,-4.15048661,-2.549556,-4.591906962,-5.34724,-4.187233514,-4.693016904,-2.365547045,-3.568934774,-6.303172064,-6.345691597,-4.268997806,-5.691318966,1.3135,-3.795052384,-7.478389792,-3.244807241,-3.269989972,-1.68816075,-4.666103438,-3.783840523,-4.121422612,-3.786743276,-6.061936154,-3.633083479,-2.647386022,0.182476997,-4.216757601,-4.6994,-4.224014964,-3.115284444
PAN3-AS1,-0.360610837,-0.341467876,-0.223823284,-0.451367722,-0.7253,0.269351973,-0.913746232,0.337434161,0.886861637,-1.453451423,-0.391178992,-0.049323962,0.071208333,2.003144444,1.054435788,-2.129463138,-0.269915108,-0.124030838,-0.055044576,-0.372695129,0.280596405,0.007011015,0.596878729,-0.008623462,-0.036405799,-0.924926627,1.294405431,1.061105701,-0.503607965,0.455201531,1.276554815
PAXIP1-AS2,1.558184729,0.766909463,1.722958021,0.619393987,1.35106,1.20336056,-0.328511813,1.315412411,1.133209112,0.291172598,2.027844538,2.245156945,2.057123276,2.40567572,1.068447254,0.637414556,1.675911553,1.330144452,1.729338659,0.78764957,1.160983987,1.804490459,1.332676773,1.444369615,1.312690153,1.549828247,1.252671885,1.687190974,0.041527434,1.189294356,1.680674074
PCBP1-AS1,3.94808867,3.529844735,4.231724054,3.868032911,3.782824444,3.713449297,3.897774745,4.323606619,3.95772841,2.977525979,3.040271429,4.341272215,3.929977874,5.282866255,3.974850754,3.615113989,4.042291611,4.145469419,4.15647574,3.397319771,4.457078758,4.167103529,4.012906601,4.091498462,4.539590591,3.821774812,4.895859744,3.981939074,4.153484248,4.646517132,5.034394074
PINK1-AS,0.739764532,0.841617494,1.05281221,0.61328481,0.1425,0.718932005,-0.915084725,0.553309929,-0.062587878,0.528107295,0.179476471,1.029942887,0.831763218,1.664672428,0.007626192,-0.592145936,0.83085783,0.792473151,1.080601381,0.428382235,0.609014052,1.428114326,0.53302665,1.241276923,1.160035339,0.783480598,0.601567412,1.429635867,-0.620716106,1.475465904,1.504453333
PPP3CB-AS1,1.460953695,1.813400729,1.748237022,1.677393038,1.353177778,1.746293727,0.814702037,1.948010284,0.685451343,1.284649466,1.526616807,1.747655437,2.008763218,3.381409465,0.920533072,0.901946881,2.150446821,2.128531737,1.60675503,1.490551289,1.509664052,2.350325798,1.941245232,0.835913462,1.774291794,1.794603808,1.734660064,2.125514371,0.904512389,1.388833999,1.260931111
PRR7-AS1,-2.275785222,-2.629527733,-2.556299046,-2.28221519,-2.917937778,-1.710012067,0.320600611,-1.918255674,-0.520085685,-3.696951957,-5.557248739,-2.468866994,-2.372316667,2.238764609,-0.617338081,-5.739156333,-2.085057731,-1.984242641,-0.75113215,-3.063390258,-1.933601634,-3.779234067,-2.104113692,-3.726000769,-0.439218928,-1.140616025,0.388311821,-3.400509739,0.075562478,-1.170642177,-2.071854815
