Entry,C1,C2,C3,F1,F2,F3
F1NVX7,8,4, ,16, ,15
R4GJC0,8,8, ,8,11,10
F1NT85,8,4, ,12,4,13
Q90927,8,4, ,12,5,14
D2D3P4,8, , ,4,7,8
Q5ZJW2,8,4, ,5,6,5
H9L0D7,8, , ,7,7,4
R4GIK6,8, ,3,3,7, 
Q800K9,8, , ,8,8,5
R4GKB8,8,4, , ,5, 
F1NLM5,8,10,3,8,7,8
R4GGJ5,8, , , , , 
F1NZ93,8,2, ,3, ,3
E1C552,8,3, ,5,10,5
E1C538,8, , ,4,3, 
Q5ZMI5,8, , , ,6, 
F1NLC7,8,3,2,3,4,5
E1BXJ0,8, , ,5,3,8
E1C6B2,8,2, ,8,7,6
Q90688,8, , , , , 
R4GGU4,8,6, ,9,9,13
R4GIK2,8, ,3, , , 
F1P1G4,8, , ,5,6,9
E1C105,8,5,4,4,5, 
R4GKE0,8,4, ,10, ,12
P15979,8, , , , , 
Q5ZIH4,8, , , ,3, 
F1NBZ9,8, , , , , 
Q5ZM57,8, , ,2, , 
F1NA97,8,6,3,13,12,12
F1NTP4,8, , ,2, , 
F1N9N4,8, , ,9,8,7
F1NRD4,8, , ,7,12,4
E1BWT5,7, , ,4,4,6
E1C7J0,7, , ,7,12,9
F1NJL0,7,4, ,13,8,13
E1BSV1,7,5, ,4,5,4
F1NJR5,7, , ,19,19,21
F1N914,7,7, ,16,7,15
F1NUB2,7, , ,4,4,6
Q5ZK62,7,2,2,10,9,11
P13914,7,2, ,6,8,5
Q5ZKD7,7,2, ,2,5, 
E1C2F7,7,7,2,6,9,5
F1NBV7,7,4, ,15,13,12
F1NHI3,7,3, ,8,9,10
F1NY41,7,6, ,5,5,5
F1NNW1,7,2, ,2,5, 
F1NT11,7,2, ,6,13,9
R4GHG6,7,8, ,9,4,7
E1C837,7,3, ,7,13,7
F1P490,7, , , , , 
F1NPQ0,7, , ,7,17,9
F1NN41,7,9, ,16,10,20
E1BZY8,7,6, ,11,11,14
F1NAY8,7,6, ,12,9,7
F1NH35,7, , ,5,2,6
F1NG96,7,2,2,10,9,11
Q10751,7,3,3,21,27,27
F1NYM0,7,3,3,21,27,27
Q5ZME3,7,5, , , , 
E1BTV1,7,3, ,5,11,9
F1NED1,7, ,2,11,18,7
P30997,7,3, ,6,4,6
Q5ZJH2,7,7, ,9,5,8
E1BTV0,7,5, ,5,3,5
E1BT38,7,4,2,7,9,5
E1BX21,7,4, ,6,4,6
H9L023,7,9, ,9,6,9
F1NTG9,7,8, ,6,4,6
R4GI96,7,4, ,9,2,13
F1NX57,7,6, ,7, ,4
E1C2U6,7, ,3,5,3, 
F1NWE5,7,2, ,7,4,3
R4GFV6,7,8, ,8,11,12
E1C1A4,7, , ,6,4, 
F1N9G6,7, , ,2,3,3
H9KYV1,7,4,2, ,2,4
Q5ZJR7,7,2, ,4,3,4
Q9DEQ5,7,7,3,14,5,12
Q5ZI54,7,3, ,6,10,7
Q5ZIZ6,7,5, ,15,7,7
F1P1A8,7, , ,6,6,5
R4GLH7,7,2, ,3,3,3
E1C928,7,6, ,6,4,5
F1NXW6,7, , ,7,15,6
E1BYT2,7,3, ,7,6,3
F1P3V4,7,6, ,6,8,9
F1NDA0,7,6, ,7,6,3
F1NR46,7,3, ,9,4,7
F1NM31,7, , , , , 
F1P212,7,3, ,6,9,8
E1C297,7,2, ,4,2,3
F1NB92,7,3, ,12,13,12
R4GI85,7,3,2,13,4,5
F1NRR4,7,13, ,35,10,28
E1C7L3,7,4, ,13,13,12
Q5ZKQ8,7, ,4,7,6,7
P56519,7,5, ,9,7,10
P79764,7, , , ,5,3
Q5ZID0,7, , ,6,2,3
E1BVB0,7,3, ,7,6,5
H9L0U6,7,9, ,11,12,11
F1NQG5,7,2, ,3,9,4
F1NZH6,7, ,3,4,7,3
F1NSI8,7, ,4,7,6,7
F1P171,7,3, ,5,5,4
F1NM39,7,5, ,10,10,11
E1BS96,7,5, ,11,3,7
F1NN74,7,4,2,8,15,7
F1NF25,7, , , , ,5
R4GFU2,7,2, ,10,3,5
E1C4Q3,7,6,2,5, ,4
E1BYF1,7,3,3,9,6,9
F1NG46,7,3,2,4,4,8
F1NBA4,7, , ,2,6,3
Q5ZMH8,7, , ,9,9,7
F1NG23,7,4,2,6,5,5
F1NPS0,7,6,3,10,9,8
R4GFR7,7,10, ,6,6,12
P50460,7,3, ,8,4,9
E1C4M3,7,4, ,5,18,7
F1NY51,7,8, ,7,5,5
E1C6U2,7,16, ,26,11,23
E1C4C6,7,2, , , , 
R4GMC8,7,3, ,8,4,9
E1BZL0,7,3,2,6,12,4
F1P0P4,7,9, ,9,11,10
F1NY54,7, ,3,9,9, 
E1C7E1,7,8, ,6,6,6
F1NRH6,7,2,3,6,10,7
F1P531,7,3, ,3,4,2
R4GJL1,7, , ,12,6,8
F1NHD8,7,2, ,6,5,7
Q5ZIF1,7,9, ,15,18,11
Q5ZML4,7, , ,4, ,3
R4GI74,7, ,2,3, , 
F1P5X5,7,3, ,5,7,4
R4GIX7,7,3,3,5,5,5
Q5ZLA5,7,3, ,6,9,6
Q5ZIL2,7,4,3,6,6,7
F1NNQ3,7,4,3,6,6,7
F1NRQ2,7, , ,6,3,7
E1BVC3,7, ,2,4,5,5
F1NZM1,7,3, ,6,11,7
E1C2F2,7, , , ,3, 
F1NZB7,7, ,6,5,10,5
F1NPL2,7,8, ,13,11,12
F1NIG7,7,4, ,7, ,8
F1NE11,7,5, , , , 
F1NMQ3,7,3, , ,2, 
F1NTT2,7,6, ,7,9,11
Q5ZLH9,7, , ,7,9,8
P81475,7,14, ,14,14,13
P01875,7,2,2,6,8,14
R4GIC4,7, , ,5,5,4
E1BTH9,7,2,2,8,6,6
F1NIQ4,7, , ,6,5,5
Q5ZL58,7,4, ,6,4,5
E1C0W7,7,4, ,10,12,4
P79996,7, ,4,5,4, 
Q5ZKB0,7, ,5,15,6,5
P63283,7,4,3,10,5,7
H9L1D5,7, , , , , 
R4GKU9,7,6,3,3,6,6
F1P5G5,7,7,4,7, ,13
Q9DG28,7, ,3,5,6, 
F1NYD5,7, , , , , 
E1BVN0,7,7,4,7, ,13
R4GH81,7, ,3,5,6, 
F1P3R0,7, ,3,5,6, 
F1NVF4,7, , , ,9, 
Q8AWB4,7, , ,3,3,2
E1BS74,7, ,3,5,6, 
F1NSJ5,7,2,3,4,3,4
Q6XFR0,7,2,3,4,3,4
Q6XFR1,7,2,3,4,3,4
F1NSR8,7, ,2,8,4,7
Q5ZJ00,6,5,3,13,11,8
Q5ZJ64,6,4, ,7,7,3
Q5F408,6,3, ,7,8,10
Q5ZJ02,6,3, ,9,11,8
F1P1E0,6,3, ,7,8,10
F1P1D9,6,3, ,7,8,10
F1P070,6, , , , , 
E1C1C3,6,3, ,4,12,8
F1P199,6,2, ,4,10,8
F1NYG0,6,7, ,10,10,13
O73790,6, , ,3, ,2
Q5ZL34,6,4, ,8,8,6
E1BRI2,6,9, ,11,12,13
R4GLW2,6,9, ,11,11,13
F1NGU9,6,4, ,8,8,6
E1C303,6,3, ,3,3,3
Q5ZLS7,6,6, ,11,12,5
P01012,6, , , , , 
Q5ZJN4,6, , ,3,4, 
A0A140T8F5,6, , , , , 
F1P1B5,6,2, ,3,9,3
F1N854,6,4, ,14,6,9
F1NZF7,6,6, ,9,15,9
F1NV15,6,5, ,9,8,7
F1NFS3,6,6, ,11,12,5
R9PXP5,6, , , , , 
E1C740,6,12, ,8,10,9
F1NG89,6, , ,3,4, 
E1C396,6, , ,5,11,6
F1NX46,6,6, ,10,15,10
R4GLV0,6, , ,5,4,5
F1NZ49,6,6, ,11,11,10
F1NRW3,6, , ,4,8,4
Q5ZLA7,6, , ,5,7,12
Q5ZI93,6,7, ,8,19,5
Q5ZHQ3,6,5,3,4,9,2
Q5F387,6,2,2,8,9,6
E1BTM1,6,8, ,13,8,13
R4GF59,6,7, ,10,17,8
E1BRG6,6,6, ,10,15,10
E1C8Z9,6,4, ,5,9,6
H9L0E0,6,5, ,9,7,9
E1BZS8,6,9, ,12,8,15
F1NJ94,6, ,2, ,7,2
E1C9E5,6, , ,7,8,5
F1NNE7,6,4,2,2,8,4
E1C0C3,6,6, ,13,8,9
E1C2S3,6,2, ,5,12,6
R4GHJ7,6,5, , , , 
Q5F337,6, ,3,5,5,7
F1NDD6,6,3,2,8,7,7
E1C2I3,6,7,4,9,10,8
Q5ZML0,6,2, ,4, ,3
Q5ZJU3,6, , ,2,3,3
Q5ZKK1,6,3, ,6,7,5
Q5ZJL5,6, , ,2,4, 
Q04678,6, , ,5,5,3
Q02977,6, , ,7,5, 
E1C218,6,2, ,9,5,8
F1NWF6,6, , ,2,3,3
E1C8U4,6, , , , , 
R4GLI9,6,4, ,9,7,9
F1P541,6,6, ,7,9,7
F1NVW3,6,3, ,7,4,4
F1NS23,6, , ,2,4, 
F1N9Y0,6,12, ,6,7,12
F1NVF2,6, , ,5,2,3
F1NSG1,6,16, ,19,7,15
F1NNV4,6,5, ,8,13,7
E1BUB5,6,10, , , , 
F1NLW2,6,3,2,6,6,6
E1C262,6,4,2,8,12,12
R4GKT0,6, , ,2,3,3
E1BZK3,6, , ,5,5,2
E1BRA6,6,5, ,7,11,8
F1P3E3,6, , ,4,4,3
F1NWQ6,6, , ,4,4,3
F1P2G2,6,2, ,4,9,3
Q5ZK71,6,2,3,4,2,4
B6ZLK1,6, , ,5,5,3
Q5ZLI7,6, , ,6,5,7
F1NZC0,6,10, ,9,12,7
R4GIY9,6,3, ,4,2,3
F1NMA3,6, , , , , 
F1NSR9,6,6, , , , 
F1NIT0,6,3, , , ,2
F1N851,6,5,2,11,8,6
F1NDV3,6, , ,6,3,8
P02521,6,3, ,5,8,4
Q07883,6,3, ,8,5,6
Q98TX3,6, , ,3,4,4
Q5F3J5,6,4, ,8,6,3
F1NP29,6,4,3,5,8,6
F1NIY3,6, , ,3,4,4
R4GGL4,6,2,3,6,5,4
A3R0S3,6,3, ,9,7,6
R4GKV3,6, , ,6,7,3
E1BRU3,6,8, ,4,6,4
E1BZN6,6,2, ,3,4,4
F1NU68,6,2, ,4,5,3
R4GFV2,6,2, ,7,4,6
F1NQG6,6,2, ,5,4,7
F1P014,6,5,2,9,4,5
E1BWA9,6,2,2,7,4,6
F1N869,6, , ,3,3,4
F1P0X7,6, , , , , 
P23228,6, , , , , 
F1N9T0,6, , , , , 
Q5ZK23,6, , ,4,4,4
Q9PVL6,6,7,4,10,7,10
P14791,6,3,3,5, ,4
Q05063,6,9, ,5,5,11
F1N8B6,6, , ,7,8,4
F1NEL2,6,8, ,18,12,10
F1NPD3,6, , ,2,13,8
F1NVA3,6,2, ,3,6,3
R4GJF8,6,4,3,9,3,7
F1P3S2,6,3, ,3, ,3
Q49B65,6, , , ,2, 
E1C050,6,7, ,9,5,5
F1NL98,6,2, ,3, ,4
H9L1C1,6,4,2,6,5,7
F1NLQ1,6, , ,3,6, 
F1NQF4,6,3,3,5, ,4
F1P334,6,4, ,7,3,4
E1BUN0,6,4, ,6,4,12
Q5ZIW8,6, , ,8,11,9
F1NGM2,6,4, , , , 
F1N808,6,4, ,9,7,9
E1BT61,6,6,4,9,13,8
F1NYK1,6,3, ,4,4,5
F1NVX8,6, , ,4,2,3
Q71SG4,6,5,6,12,10,8
Q71SG3,6,5,6,12,10,8
R4GK02,6,5,6,12,10,8
Q05713,6,8, , , ,2
P51887,6,79, ,44, ,39
Q90891,6, , ,5,4,7
F1NT78,6,3,3,11,2,11
E1C3B2,6, , ,4,5,4
R4GF79,6, , ,5,4, 
F1NLZ4,6,79, ,44, ,39
F1NP48,6, , , , ,13
F1NVJ6,6,7,2,5,4,7
E1BVN1,6, , ,3,3, 
E1C6V0,6,3, ,3, ,4
F1NYZ2,6, , ,6,4,7
F1P543,6, , ,8, ,9
Q5ZLP2,6, , ,4,3, 
F1NNC9,6, , ,4,3, 
P80565,6,3,4,23,34,14
F1NIS2,6,7,3,5,13,10
E1BZ00,6, ,3,5,5, 
F1NU14,6, ,4,6,7,8
E1BQL7,6, , , , , 
P04458,6,20,6,5, ,31
H9L3M4,6,20,6,5, ,31
H9KZM2,6,20,6,5, ,31
R4GLN9,6,20,6,5, ,31
P24802,5,9, ,24,12,14
