	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
170	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	27.3535	17.7051	-9.6484	0.227449999999997	0.854143278182593	1.00945890919698	POSTN
171	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	27.8567	17.8884	-9.9683	0.547349999999998	0.684275880043652	0.808703177912271	POSTN
172	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	29.7989	18.33625	-11.46265	2.0417	0.242877373564682	0.287041688262071	POSTN
173	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	29.8255	18.35405	-11.47145	2.0505	0.241400404726881	0.2852961504934	POSTN
174	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	30.0307	18.32545	-11.70525	2.2843	0.205284982937228	0.242613575782347	POSTN
175	SB_rep1	SB	SB	Control	16.018	18.2822	32.5555	17.1501	-15.4054	5.98445	0.0157943239888794	0.0186663308985375	POSTN
176	SB_rep2	SB	SB	Control	16.3221	18.5011	33.0239	17.4116	-15.6123	6.19135	0.0136841534738579	0.016172451381221	POSTN
177	SB_rep3	SB	SB	Control	16.4114	18.6363	34.0508	17.52385	-16.52695	7.106	0.00725906776758525	0.00857904149997547	POSTN
178	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	33.9667	18.3919	-15.5748	6.15385	0.0140445090141619	0.0165983332208724	POSTN
179	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	35.9199	19.05685	-16.86305	7.4421	0.00575048757310512	0.00679614423150275	POSTN
180	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	33.6776	18.74695	-14.93065	5.5097	0.0219490148782266	0.0259401779336914	POSTN
181	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	29.6208	17.92095	-11.69985	0	1	1.05185888349143	SNAI1
182	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	29.6207	17.7051	-11.9156	0.215749999999996	0.861098392391704	0.905753993597405	SNAI1
183	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	29.6013	17.8884	-11.7129	0.0130499999999962	0.990995217391872	1.04238712291116	SNAI1
184	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	28.4586	18.33625	-10.12235	-1.5775	2.98452223074808	3.13929622139003	SNAI1
185	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	28.3107	18.35405	-9.95665	-1.7432	3.3477690379001	3.52138060239278	SNAI1
186	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	28.2497	18.32545	-9.92425	-1.7756	3.42380372661556	3.60135836517165	SNAI1
187	SB_rep1	SB	SB	Control	16.018	18.2822	29.2094	17.1501	-12.0593	0.359449999999995	0.779461677940805	0.819883690283173	SNAI1
188	SB_rep2	SB	SB	Control	16.3221	18.5011	29.2148	17.4116	-11.8032	0.103349999999999	0.930868962215817	0.979142787273157	SNAI1
189	SB_rep3	SB	SB	Control	16.4114	18.6363	29.3922	17.52385	-11.86835	0.168499999999998	0.889767309958774	0.935909649220411	SNAI1
190	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	28.8569	18.3919	-10.465	-1.23485	2.35356875628368	2.47562220420487	SNAI1
191	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	29.4302	19.05685	-10.37335	-1.3265	2.50793507434356	2.63799378716802	SNAI1
