	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
395	dZEB1_rep3	dZEB1	dZEB1	Control	15.17230129	17.18732452	26.51897049	16.179812905	-10.339157585	-1.778921605	3.43169564080115	3.05825712133424	OCLN
396	dZEB1_rep4	dZEB1	dZEB1	Control	15.49681187	17.96401978	26.83486176	16.730415825	-10.104445935	-2.013633255	4.03797857238704	3.59856409699398	OCLN
397	dZEB1.TGFb_rep1	dZEB1.TGFb	dZEB1	TGFb	16.1673336	17.43265343	32.22415543	16.799993515	-15.424161915	3.30608272500001	0.101104370993654	0.0901021521002881	OCLN
398	dZEB1.TGFb_rep2	dZEB1.TGFb	dZEB1	TGFb	17.06296539	18.25022507	32.84767532	17.65659523	-15.19108009	3.0730009	0.118832313522249	0.105900932691455	OCLN
399	dZEB1.TGFb_rep3	dZEB1.TGFb	dZEB1	TGFb	17.28935051	18.77163887	33.19506836	18.03049469	-15.16457367	3.04649448	0.121035781841436	0.107864618689323	OCLN
400	dZEB1.TGFb_rep4	dZEB1.TGFb	dZEB1	TGFb	17.29047966	18.50511742	33.80822372	17.89779854	-15.91042518	3.79234599	0.0721755501745706	0.0643213773631937	OCLN
401	WT_rep1	WT	WT	Control	15.60806274	17.42342186	23.08381271	16.5157423	-6.56807041	0	1	0.806078736099932	TJP1
402	WT_rep2	WT	WT	Control	15.12668324	16.93009949	22.13410568	16.028391365	-6.105714315	-0.462356095000001	1.3777900791689	1.1106072856275	TJP1
403	WT_rep3	WT	WT	Control	15.41189861	17.23838615	22.90069389	16.32514238	-6.57555151	0.00748109999999969	0.994827918141004	0.801909630892027	TJP1
404	WT_rep4	WT	WT	Control	15.43656254	17.18859482	22.21191597	16.31257868	-5.89933729	-0.668733120000002	1.58967640503754	1.28140434738055	TJP1
405	WT.TGFb_rep1	WT.TGFb	WT	TGFb	16.57747078	17.33676529	23.29467773	16.957118035	-6.337559695	-0.230510715000001	1.17325020707714	0.945732044049724	TJP1
406	WT.TGFb_rep2	WT.TGFb	WT	TGFb	16.84258652	17.8599472	23.67809677	17.35126686	-6.32682991	-0.241240500000004	1.18200857358295	0.952791977053029	TJP1
407	WT.TGFb_rep3	WT.TGFb	WT	TGFb	16.8386879	17.55026245	23.34815216	17.194475175	-6.153676985	-0.414393425	1.33273821515771	1.07429193602641	TJP1
408	WT.TGFb_rep4	WT.TGFb	WT	TGFb	16.91039276	17.92844391	23.73729706	17.419418335	-6.317878725	-0.250191685000001	1.18936513059413	0.95872194123065	TJP1
409	dZEB1_rep1	dZEB1	dZEB1	Control	15.50782108	17.71746254	23.27591705	16.61264181	-6.66327524	0.0952048300000001	0.936139327430137	0.754602005868325	TJP1
410	dZEB1_rep2	dZEB1	dZEB1	Control	15.29206753	17.2262001	22.82553482	16.259133815	-6.566401005	-0.00166940499999768	1.00115781311766	0.807012024634452	TJP1
411	dZEB1_rep3	dZEB1	dZEB1	Control	15.17230129	17.18732452	22.62729836	16.179812905	-6.447485455	-0.120584954999998	1.08717557928498	0.876349116868748	TJP1
412	dZEB1_rep4	dZEB1	dZEB1	Control	15.49681187	17.96401978	23.04373169	16.730415825	-6.313315865	-0.254754545000001	1.19313273040565	0.96175892332485	TJP1
413	dZEB1.TGFb_rep1	dZEB1.TGFb	dZEB1	TGFb	16.1673336	17.43265343	23.06571007	16.799993515	-6.265716555	-0.302353854999996	1.23315474867318	0.994019821226109	TJP1
414	dZEB1.TGFb_rep2	dZEB1.TGFb	dZEB1	TGFb	17.06296539	18.25022507	23.62097168	17.65659523	-5.96437645	-0.603693960000001	1.5196024677773	1.22491923660026	TJP1
415	dZEB1.TGFb_rep3	dZEB1.TGFb	dZEB1	TGFb	17.28935051	18.77163887	23.92673492	18.03049469	-5.89624023	-0.671830179999997	1.59309265819225	1.28415811640569	TJP1
416	dZEB1.TGFb_rep4	dZEB1.TGFb	dZEB1	TGFb	17.29047966	18.50511742	23.76894188	17.89779854	-5.87114334	-0.696927070000001	1.62104829172424	1.30669255815003	TJP1
417	WT_rep1	WT	WT	Control	15.60806274	17.42342186	25.93283272	16.5157423	-9.41709042	0	1	0.945946868873796	TWIST1
418	WT_rep2	WT	WT	Control	15.12668324	16.93009949	25.29561424	16.028391365	-9.267222875	-0.149867545000003	1.10946760627235	1.04949740827023	TWIST1
419	WT_rep3	WT	WT	Control	15.41189861	17.23838615	25.93027878	16.32514238	-9.6051364	0.188045979999998	0.877793821078149	0.83034631656564	TWIST1
420	WT_rep4	WT	WT	Control	15.43656254	17.18859482	25.41781044	16.31257868	-9.10523176	-0.311858660000002	1.24130587554911	1.17420940629033	TWIST1
421	WT.TGFb_rep1	WT.TGFb	WT	TGFb	16.57747078	17.33676529	25.42177391	16.957118035	-8.464655875	-0.952434545000003	1.93513544129728	1.83053531154188	TWIST1
422	WT.TGFb_rep2	WT.TGFb	WT	TGFb	16.84258652	17.8599472	25.68062973	17.35126686	-8.32936287	-1.08772755	2.12538993528442	2.01050595441818	TWIST1
423	WT.TGFb_rep3	WT.TGFb	WT	TGFb	16.8386879	17.55026245	25.8728447	17.194475175	-8.678369525	-0.738720895	1.66869570380263	1.57849747611525	TWIST1
424	WT.TGFb_rep4	WT.TGFb	WT	TGFb	16.91039276	17.92844391	25.77471924	17.419418335	-8.355300905	-1.061789515	2.08751926965007	1.9746823168392	TWIST1
425	dZEB1_rep1	dZEB1	dZEB1	Control	15.50782108	17.71746254	24.32449341	16.61264181	-7.7118516	-1.70523882	3.2608290741336	3.08457105260932	TWIST1
426	dZEB1_rep2	dZEB1	dZEB1	Control	15.29206753	17.2262001	24.44008255	16.259133815	-8.180948735	-1.236141685	2.35567691546381	2.22834520226127	TWIST1
427	dZEB1_rep3	dZEB1	dZEB1	Control	15.17230129	17.18732452	24.11386299	16.179812905	-7.934050085	-1.483040335	2.79537209587854	2.64427348143349	TWIST1
428	dZEB1_rep4	dZEB1	dZEB1	Control	15.49681187	17.96401978	24.61981583	16.730415825	-7.889400005	-1.527690415	2.88323896813513	2.72739087412234	TWIST1
429	dZEB1.TGFb_rep1	dZEB1.TGFb	dZEB1	TGFb	16.1673336	17.43265343	24.56064034	16.799993515	-7.760646825	-1.656443595	3.15238467979398	2.98198841733684	TWIST1
430	dZEB1.TGFb_rep2	dZEB1.TGFb	dZEB1	TGFb	17.06296539	18.25022507	25.78490257	17.65659523	-8.12830734	-1.28878308	2.4432188194878	2.31115519226802	TWIST1
431	dZEB1.TGFb_rep3	dZEB1.TGFb	dZEB1	TGFb	17.28935051	18.77163887	25.84558868	18.03049469	-7.81509399	-1.60199643	3.03563099416235	2.87154563398413	TWIST1
432	dZEB1.TGFb_rep4	dZEB1.TGFb	dZEB1	TGFb	17.29047966	18.50511742	25.82766914	17.89779854	-7.9298706	-1.48721982	2.80348202548544	2.65194504395192	TWIST1
433	WT_rep1	WT	WT	Control	17.92230797	16.51481819	31.32512665	17.21856308	-14.10656357	0	1	0.785463141547156	ZEB1AS1_1
434	WT_rep2	WT	WT	Control	17.29480362	15.58613586	30.07444382	16.44046974	-13.63397408	-0.472589490000004	1.38759783040904	1.0899069510771	ZEB1AS1_1
435	WT_rep3	WT	WT	Control	17.44113541	15.83620167	30.45969963	16.63866854	-13.82103109	-0.285532480000004	1.21886004607654	0.957369640897592	ZEB1AS1_1
436	WT_rep4	WT	WT	Control	17.30810928	15.88215351	30.13018417	16.595131395	-13.535052775	-0.571510795000002	1.48607898287748	1.16726026647815	ZEB1AS1_1
437	WT.TGFb_rep1	WT.TGFb	WT	TGFb	17.78612709	17.20280266	31.90903854	17.494464875	-14.414573665	0.308010095	0.807755125468102	0.634461878450993	ZEB1AS1_1
438	WT.TGFb_rep2	WT.TGFb	WT	TGFb	18.1353302	17.09827805	32.38410568	17.616804125	-14.767301555	0.660737984999994	0.632554642130602	0.49684835640814	ZEB1AS1_1
439	WT.TGFb_rep3	WT.TGFb	WT	TGFb	18.05560875	16.81612968	32.66841507	17.435869215	-15.232545855	1.125982285	0.458189948464386	0.359891316346166	ZEB1AS1_1
