Time	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48			
Treatment	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	M	M	M	M	M	M	M	M	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV			
Replicate	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2			
IFNG	49.00	57.00	56.00	49.00	47.00	38.00	34.00	49.00	38.00	38.00	35.00	36.00	52.50	45.00	54.50	53.00	44.50	51.00	59.00	52.00	47.00	39.50	48.50	52.00	54.00	46.00	41.00	49.50	49.00	56.00	11.50	8.00	8.00	4.00	17.00	14.00	12.00	12.00	7.50	12.00	5.00	5.00	8.00	14.00	7.00	7.00	6.00	6.00	9.00	9.00	14.50	8.00	14.50	14.00	4.0	4.0	3.5
IFR3	2685.00	2960.00	2348.00	2448.00	2142.00	2444.50	1792.50	2026.50	2105.00	2210.00	1912.50	2651.00	2815.50	2483.50	2932.00	3171.00	2551.00	2553.00	2101.00	2291.00	2779.00	3147.50	2973.50	3390.50	2919.00	2818.00	2438.00	2703.00	2412.00	2638.50	30.00	22.00	15.00	10.00	41.00	47.00	48.00	50.50	25.50	30.00	12.00	10.00	34.50	59.00	32.50	22.00	15.00	15.00	24.00	28.00	53.00	43.00	61.00	70.00	6.0	5.0	4.0
IL10	20.00	19.50	22.00	22.00	24.00	24.00	19.00	21.00	21.00	20.00	16.00	17.00	21.00	21.00	29.00	29.00	32.00	27.50	22.00	22.50	19.00	19.00	22.00	23.00	25.00	21.00	22.00	23.00	26.00	27.00	17.00	18.00	14.00	9.00	35.00	76.00	58.50	40.00	8.00	11.00	9.00	8.00	26.50	41.00	34.50	29.00	8.00	8.00	11.00	15.00	45.00	31.50	42.00	63.00	6.0	6.0	5.0
IL12A	85.00	115.00	83.00	92.00	72.00	74.50	63.00	79.50	75.00	90.00	64.00	84.00	86.00	76.00	207.00	229.00	285.00	231.00	149.50	157.50	70.00	82.00	89.00	88.00	76.00	87.00	95.50	98.00	207.00	198.00	8.50	8.50	8.50	8.50	10.00	11.00	8.50	8.50	11.00	16.00	9.00	8.50	8.50	9.00	8.50	8.50	8.50	8.50	10.00	8.50	11.00	8.50	12.00	11.00	10.0	9.0	6.5
IL15	215.50	237.00	315.50	377.00	372.50	425.50	345.00	371.00	410.00	431.50	197.00	225.00	476.00	435.50	1351.00	1596.00	1691.00	1576.00	1164.00	1345.00	221.00	222.50	415.00	495.00	512.00	537.00	631.00	677.00	1403.00	1316.00	15.00	14.00	8.00	6.33	10.00	9.00	9.00	11.00	10.00	14.00	6.33	6.33	8.00	11.00	8.00	8.00	9.00	10.00	10.00	10.00	13.00	9.00	13.00	13.00	7.0	6.0	6.0
IL1A	167.50	181.00	256.00	271.00	284.00	327.50	234.00	278.00	231.00	240.00	104.00	121.00	193.50	192.00	510.00	511.00	464.00	405.00	209.50	197.00	129.50	142.00	205.00	206.50	260.00	242.00	264.50	248.50	254.00	253.50	11.00	9.33	11.00	9.33	18.00	16.00	13.00	14.00	15.00	18.00	14.00	15.00	9.33	17.00	14.00	12.00	13.00	12.00	14.00	12.00	20.00	12.00	26.00	21.00	10.0	10.0	8.0
IL1B	306.50	300.00	485.00	514.00	511.00	628.00	382.00	477.00	361.00	426.00	151.00	189.00	271.50	277.00	450.00	447.00	333.00	347.00	217.00	218.00	195.00	191.50	295.00	289.50	336.00	337.00	304.00	295.00	300.50	377.00	15.00	14.00	6.00	5.00	38.00	24.00	39.00	41.00	46.50	17.00	5.00	6.00	12.00	26.00	30.00	24.00	8.00	7.00	7.00	14.00	34.00	25.00	42.50	64.50	4.0	5.0	4.0
IL1RN	30.00	25.50	27.00	23.00	23.00	23.50	23.00	24.00	22.00	22.00	21.50	22.00	26.00	25.00	34.00	35.00	33.00	33.50	28.50	25.00	24.00	27.00	24.00	27.00	25.50	26.00	24.00	26.00	30.00	34.00	295.50	229.00	14.00	10.50	21.00	16.00	10.00	62.00	389.00	373.00	18.00	14.00	39.50	78.50	10.00	9.00	130.00	102.50	37.00	57.50	26.50	18.00	36.00	36.00	7.0	7.0	6.0
IL6	556.00	646.00	485.00	495.50	483.00	500.00	410.00	420.50	412.00	407.50	421.00	503.00	662.50	554.00	1059.00	1322.00	1497.00	1425.50	757.00	811.00	542.00	553.00	609.00	658.50	662.00	622.00	669.00	755.50	1058.00	995.00	18.00	16.67	25.00	20.00	28.50	28.50	20.00	20.00	27.00	35.00	28.00	24.00	16.67	25.00	22.00	22.00	23.00	26.00	27.00	21.00	32.00	18.00	34.50	23.00	20.0	19.0	11.0
IL8	10883.00	12658.00	10308.00	10993.00	9666.50	11487.00	7900.00	8912.00	7454.00	8211.00	8032.00	12036.50	15414.00	12952.00	12311.00	12081.00	11286.00	12194.00	4980.00	4872.00	13123.00	14709.00	15223.50	14403.50	13270.00	11053.00	11730.00	11780.50	10762.00	9785.00	1408.00	1246.00	322.50	216.00	995.50	941.00	725.00	978.50	1259.00	1101.50	227.00	146.00	589.00	937.00	690.00	515.00	352.50	352.00	365.00	405.50	894.00	631.50	829.00	1466.50	4.0	4.0	4.0
IRF7	469.00	487.50	458.00	463.00	446.00	465.00	518.00	482.50	544.00	565.00	973.50	856.00	4918.50	4380.00	13383.50	14807.50	13944.50	13823.00	9890.00	10483.00	1292.00	1221.00	1648.00	4251.00	2228.00	4080.00	6182.00	6869.50	12259.00	12853.00	44.00	41.00	27.00	27.00	46.00	43.00	31.50	44.00	52.00	56.00	32.00	38.00	34.00	56.50	34.00	36.00	32.50	32.00	32.00	41.50	57.00	34.00	66.50	51.00	8.0	8.0	8.0
ITGAM	67.00	74.00	74.00	64.00	80.00	76.50	65.00	78.00	72.50	56.00	25.00	22.83	70.00	35.00	81.00	65.00	71.00	60.00	69.50	73.00	32.00	31.00	48.00	45.00	62.00	48.00	37.00	51.00	56.50	67.00	33.00	32.00	41.00	42.00	73.50	64.50	58.50	107.50	62.00	75.00	45.00	41.50	47.00	105.00	51.00	45.00	51.00	53.00	61.00	60.00	99.00	65.00	161.00	119.00	25.0	31.0	12.5
NFKB1	1871.50	2023.00	1919.50	2050.00	1880.00	2057.50	1648.50	1750.00	1960.00	2009.00	1530.50	1968.50	2072.00	1827.00	2120.00	2255.00	2038.00	2099.00	1931.00	2004.00	2002.50	2113.00	2254.00	2430.00	2290.00	2298.00	2113.50	2248.00	2178.50	2221.00	60.00	55.50	15.00	6.00	54.00	45.00	55.00	76.00	60.00	50.00	7.00	8.00	42.00	62.50	33.00	20.00	16.50	18.00	18.50	31.50	50.00	33.00	59.00	87.00	3.0	3.0	3.0
NOS2	231.00	305.50	222.00	223.00	133.00	104.50	53.50	98.50	71.00	86.00	153.00	174.00	225.00	176.00	176.00	143.00	89.50	91.00	49.00	41.00	264.00	236.00	223.00	259.50	154.00	149.00	87.00	127.00	82.00	152.00	4.17	4.17	5.00	4.17	6.00	5.00	5.00	4.17	5.00	8.00	5.00	5.00	5.00	5.00	5.00	4.17	5.00	5.00	5.00	5.00	5.00	5.00	5.00	6.00	4.0	4.5	4.0
PPARG	1381.00	1537.50	1476.50	1661.00	1818.00	1991.00	1670.00	1779.00	2146.00	2140.00	1038.00	1284.00	1465.00	1256.50	2350.50	2516.50	2354.00	2680.00	2152.00	2247.00	1373.00	1416.00	1629.00	1722.00	2081.50	2141.50	2426.00	2675.00	2987.00	2999.00	56.00	41.00	15.00	9.00	46.00	33.00	21.00	63.00	40.00	44.00	21.00	14.00	55.50	93.50	19.00	14.00	31.00	31.50	36.00	76.00	103.00	87.00	118.00	70.50	4.0	4.0	3.0
TGFB1	18329.50	18670.00	14230.50	14533.50	13754.00	14358.00	11586.00	12951.50	13591.00	14472.00	6773.00	15870.00	15047.00	11809.50	18770.50	20623.00	18770.00	19390.00	14531.00	14743.50	16566.00	18751.00	15477.50	18021.00	16960.00	16221.50	15095.00	18083.00	19099.00	20352.50	525.00	479.50	94.00	54.00	226.00	258.00	242.00	300.00	412.50	425.50	79.00	59.00	221.00	323.50	136.00	101.00	161.00	182.00	127.50	192.00	262.00	209.00	301.00	328.00	5.0	5.0	4.0
TLR3	111.00	101.00	109.00	135.00	116.00	109.00	97.50	119.00	104.50	111.00	98.50	100.00	449.00	486.00	4286.00	5443.00	5874.00	5567.00	4444.00	5164.50	111.00	110.50	189.00	332.00	232.50	375.50	564.00	698.00	4440.00	4482.00	15.00	16.00	15.00	14.00	25.00	22.00	12.33	13.00	17.00	28.00	15.00	12.33	12.33	18.50	12.33	12.33	20.50	28.00	29.00	23.00	31.00	16.00	32.00	24.00	15.0	14.0	8.0
TLR7	20.00	21.00	20.00	23.00	17.00	19.00	18.50	20.00	16.00	17.00	16.00	21.00	22.00	20.00	26.00	25.00	26.00	27.00	20.00	23.50	20.00	21.00	21.00	20.00	22.00	21.00	19.00	22.50	22.50	26.00	6.00	5.00	6.00	4.00	17.00	30.00	34.00	17.00	4.00	7.00	4.00	4.00	9.00	17.00	12.50	12.00	5.00	4.00	5.00	6.00	16.50	9.00	12.00	23.00	4.0	4.0	3.0
TNF	22.00	23.00	21.00	22.00	25.00	24.00	22.00	28.50	23.50	26.00	13.50	15.00	27.00	20.00	32.50	33.00	38.00	37.00	28.50	27.00	20.00	17.50	21.50	20.00	24.00	23.00	22.00	22.00	32.50	30.00	76.50	100.00	21.00	14.00	75.00	105.00	94.00	103.00	99.50	94.00	17.00	22.00	68.00	115.00	86.00	57.00	35.00	42.00	42.50	54.00	109.00	59.00	101.00	126.00	8.0	8.0	5.0
VEGFA	359.00	409.50	270.50	286.00	253.00	257.50	189.00	242.00	262.00	274.00	282.50	362.00	312.00	284.50	382.00	382.00	406.00	442.00	329.00	316.00	380.50	386.50	315.00	320.50	297.00	314.00	319.00	384.00	443.00	513.00	12.00	13.00	7.00	6.00	9.00	9.00	9.00	7.00	8.00	11.00	6.00	6.00	7.00	9.00	7.00	7.00	6.00	7.00	6.00	7.00	8.00	7.00	8.00	8.00	6.0	6.0	5.0
